,title,review,date,month,year,rating
10,“Appalling service”,appalling service with failing defective fleet of a380 aircraft. flown four times on this route or return and significant delays of 2 to 26 hours every time. ba56 boarded 6:20pm on 13 october. flight cancelled for technical reasons. six hours to return through customs and recover bag. no ba management at all at johannesburg that night. further four hours to organise a hotel and transfer with queues of 300 people to check in. room eventually accessed 4:30am no attempt to re-schedule or assist - pilot trying to announce process.,2024-10-14,October,2024,1.0
11,“BA’s petty penny pinching ”,"british airways charge you for the pleasure of choosing your seat and i had been put at the very back of club which turned out to be an advantage because it meant i could get to the seat without having to climb over anybody. the seat was clean but as i later discovered that the foldout section would not stay up and your feet dangled over the edge when the bed was extended. after boarding was complete we were told that departure was delayed because ba had not loaded all of the cargo; we were then told that it was delayed further because there was a fault with one of the fuel pumps. it took over five hours for this problem to be corrected as the pilot later informed us that they installed new pump having initially thought that it was a software issue. during that time we were served the meal but were told that alcohol is not permitted which was curious given that we had already been served a pre-departure drink. most of the cabin crew were male and, apparently, based in mexico and this turned out to be a pleasant surprise given that those i spoke to were incredibly positive and friendly but seemed embarrassed at what was happening. i knew that it was the old-style seats but what was less acceptable is ba’s petty penny pinching. if there was a competition for the smallest hot towel ba would be the winner. the food sounded nice and looked impressive but seemed totally tasteless.",2024-10-12,October,2024,6.0
12,“British arrogance with no manners”,"what is wrong with you guys? people pay lots of money for a business class ticket but you sit squeezed into a seat with no legroom, nothing is clean, the overhead lockers are empty and they want you to put your bag under the seat so that you have no room for your legs anymore and then serve you food that is just rubbish. the staff demonstrates it's british arrogance with no manners. there is no decent polite service anymore. there is really no difference to easyjet at all. it's the same on their european routes.",2024-10-12,October,2024,1.0
13,"""Terrible customer service""","we booked two business class seat with british airways in july, 2024 for the flight on september 19, 2024. we were told on september 19 at the heathrow airport that our flight was cancelled and we could only have one business seat with another flight to a different airport. no one from the british airways contacted us to apologize and to offer refund for the business class seat we lost. we filed a complaint to the british airways and asked for reimbursement on september 21 and have not heard a word from them as of october 11, 2024. it is the worst flight experience we have ever had. terrible customer service. zero communication with customers. we cannot even find a phone number to call the british airways on its website.",2024-10-12,October,2024,2.0
14,“left much to be desired”,"i’ve flown with many airlines, but my recent experience with british airways left much to be desired. the in-flight entertainment was underwhelming, and i was disappointed by the lack of basic amenities, such as a comfort kit with essentials like eye masks. while the only positive aspect was the slightly more generous legroom, overall, i found the service to be far below expectations. not impressed.",2024-10-09,October,2024,1.0
15,"""crew were all very friendly""","i recently flew from new york back to london with ba, this wasn't my first long haul with them however it was my first time travelling in world traveler plus. we boarded the aircraft on time and stress free and my first impression was good. the cabin was clean and the leg room was good. the recline on the seat was generous and combined with a footrest it was quite comfortable. waiting on our seats was a decent quality cushion and blanket as well as an amenity kit. the amenity kit contained some good headphones, socks, an eye mask, lip balm, pen and toothbrush and toothpaste. once boarding was complete we were offered a pre departure drink with orange juice, water or champagne being the options. the crew were all very friendly and professional and did their upmost to ensure that everyone was happy. once in the air we were offered a hot towel and another round of drinks, this time with a lot more selection. drinks were offered several times throughout the flight. a menu was also handed out not long after take off, the starter was quinoa and for main there was a choice of chicken, meatballs and pasta or a vegetarian mushroom dish. i chose the meatballs and they were really good. my only real complaint about the flight was people not getting the dish they wished for. we were sat in the last row of the premium economy cabin and by the time the meal service got to us all of the chicken dishes were gone. the moral of the story is that if you sit at the front of the cabin, you will likely get your preferred meal option. after the meal i chose to watch some shows on the well sized entertainment screen, ba is definitely up there for best inflight entertainment. finally about an hour before landing we were served a breakfast snack, this come in the form of a warm egg and swiss cheese bagel. it was edible but also a little soggy and didn't really taste of much, i certainly wont be craving one anytime soon. we touched down into heathrow on time before disembarking the aircraft and picking up our bags, everything was very efficient and we were on our way in no time.",2024-10-08,October,2024,8.0
16,"""Simply not good enough""","ba business class in europe has a seat the same as economy, you simply have an empty seat next to you and so for many, the only true benefits are in flight meals, lounge access and priority security etc. the problem on this flight was a small child, aged around five, who sang incessantly in an extremely loud voice throughout most of the flight. i am aware of the difficulties of flying with children, i know it is difficult to keep them entertained etc, i am a patient person, i have headphones. the parents of this child chose, despite a polite request, not to try and quieten their child at all. at this point one had an expectation the crew will step in. if i was singling loudly, disrupting other passengers, they would quite rightly ask me to desist. so why not speak to the parents of a child who is doing the same and disrupting the rest and sleep of other passengers? instead, having served the meal, the crew retreated behind their curtain and left the passengers to stew. simply not good enough. as for wifi? forget it...",2024-10-06,October,2024,4.0
17,“BA refuses to reimburse us”,"our flight started in seattle wa heading to lisbon portugal. after a 10 hour flight and a 2 hour layover we boarded flight ba502 to lisbon. after heading to the runway the plane stopped and the pilot said we have a small mechanical issue and a mechanic is in route. after an hour in the tarmac the flight crews announce they were going to offer complimentary water? really!! another half hour goes by and they say the flight is cancelled, no reason at that time. as we wait for a bus to remove all passengers from the plane they announce that there will be staff members back at the gate to help with meal vouchers, taxi rides and hotel accommodations. what? we get off the bus and there is a line of passengers trying to figure out what’s happening. staff hands my wife and i a $10 meal voucher and says go upstairs and someone will help you with your issues. we go upstairs and nobody knows what to do. one staff member hands us a paper for a hotel room and tells us to get your luggage and keep your receipt for the taxi to be reimbursed. nothing else. i asked about another flight and she said they will contact you asap. who will contact?? and she walked away. we grabbed our luggage and headed to the taxi line. as we are being driven to the hotel i receive an email for our flight the next day on a different airline, iberian? our assigned seats are not together?? we get to the hotel and i barely fit into the shower and a double bed. i’m 6’3” 230lbs and with my wife. crazy. get a little sleep nothing to eat until the am. another taxi ride to the airport and tried to use our meal vouchers but they were only good for the prior day. went to the first customer service line and he didn’t have the authorization to issue new vouchers. finally after the third customer service line we had someone issue us new vouchers. finally made it to our destination a day in half later and still had to pay for our room that we didn’t even use because of the cancellation. ba refuses to reimburse us for that first night we missed. filed a claim with ba and nothing so far. we will never fly ba again!",2024-10-05,October,2024,1.0
18,"""my luggage is missing""","british airways flight from edinburgh got delayed by 1 h 30 min and there was a connecting flight part of same ticket. so i have literally run for next connecting flight of british airways from lhr to delhi. as a bonus trouble to my surprise when i landed in delhi i got to know that my luggage is missing. i was assured there that my luggage will be delivered to my address but today 4th oct i have not received it yet. they have shown my luggage at bbi air port and i have to apply leave so that i can collect it. no details point of contact, how to enter air port without ticket. all sort of trouble i have to face.",2024-10-04,October,2024,4.0
19,"""work is needed to provide a better customer experience""","british airways world traveller plus (premium economy) product needs some improvement to justify the high cost over economy. yes, the seat and leg room are far superior and on this flight, the crew were excellent. however, lunch/dinner was only average, wine selection was poor and like some other airlines, ba provides a revolting snack prior to landing. (the same snack is served in economy). choice of entertainment also requires improvement. if ceo sean doyle is serious about elevating ba to one one of the world’s best airlines (which it once was) then work is needed to provide a better customer experience.",2024-09-28,September,2024,5.0
20,"""barely a step above low cost airlines""",ba is barely a step above low cost airlines. they try to dime and nickel everywhere possible. i now found out that you cannot select a seat a check in anymore when you have no baggage. next time i go with low cost carrier since there is virtually no difference anymore.,2024-09-25,September,2024,2.0
21,"""Happy with the flight crew""","happy with the flight crew. hadn't been on a plane in 20 years and was stressed out. they made it comfortable for me and i want to say thank you to the flight crew for helping me relax. if i go back to france again, i'm going british airways.",2024-09-24,September,2024,10.0
22,"""seats are super uncomfortable""","horrible service from boarding to landing. i flew from london to marrakech and was very disappointed with the arrangement for boarding, my food is horrible, the staff are arrogant to me and the seats are super uncomfortable for a 3h40min flight business class. today taking the flight from marrakech to london. i do not recommend.",2024-09-22,September,2024,1.0
23,"""very disappointed""","my wife and i are very disappointed with flying on british airways. our flight on 9/12 was cancelled while all other airlines were flying. in addition, our seats changed multiple times without any explanation. the people working were very rude and not at all customer oriented.",2024-09-13,September,2024,1.0
24,"""happily recommend and use BA""","we flew ba between heathrow and berlin one way connection. our experience with ba ground staff at heathrow was very good, friendly and helpful at check in and baggage drop off. the crew on our flight were also very good, captain provided some general information and welcoming in a suitable casual but efficient way. flight stewards were also very friendly and handed out some water and small snack (chocolate bar) unexpected on a 1 hr 20 min flight. seating was typical for class of aircraft and ticket. cleanliness was not optimal and could be improved. from memory a slightly delayed departure from heathrow, which was slightly reduced on arrival at berlin. this was not an issue for us as berlin was our destination with no connecting concerns. our baggage arrived safely at berlin. i understand ba has had some very negative reviews by customers but our experience on this occasion was very positive and would happily recommend and use ba.",2024-09-13,September,2024,8.0
25,"""cannot get compensation for our flight""",absolutely disgusted with ba. our flights were cancelled on 1 may by ba even though the flight still departed. we had a connecting flight from manchester to heathrow which was cancelled due to weather so could not get compensation for that flight. but now it turns out we cannot get compensation for our flight to seattle either even though ba actually cancelled it for us. i will never fly with them again.,2024-09-13,September,2024,1.0
26,“Crew very friendly and attentive”,took a trip to nashville with my wife for a leisure break. arrived at t5 and directed to the club world check in zone to the left of the terminal. zone seemed way too small for the number of passengers and the check in process was painfully slow. queues for non premium cabins seemed to be much more effectively managed. had a bite to eat at the departures lounge. plenty of food options even though it was very busy. flight departed from the furthest away satellite gate in c annex. boarding was managed efficiently. i was in seat 4a in the club suites section. lots of space and comfortable. crew were + 40 on average and very friendly and attentive. i chose a salmon dish and was glad i was in 3a as they had run out by row 4! entertainment was a little disappointing in terms of latest release movies. meal prior to landing was not to my taste so i skipped it. flight landed right on schedule so no complaints on that basis.,2024-09-11,September,2024,8.0
27,"""A nightmare journey""","a nightmare journey courtesy of british airways. our worst flight experience in over 50 years of flying!  we were booked on ba470 scheduled to depart heathrow at 12.05 on 5 sept - we boarded 1.5 hrs late because despite the plane being at the gate we had to wait for a crew to arrive. approximately 1hr into the flight the pilot advised that as the weather radar wasn't working, we would be returning to heathrow where we circled for approx 45 mins before landing. there was no member of staff present to offer advice about an alternative flights and the customer service desk stated they would not deal with it but we had to await an email. an email finally arrived after about an hour and my husband and i were fortunate enough to be allocated seats on the 21.15 flight. this time we boarded approx 2 hrs late again the plane was at the gate but we had to wait for a crew. as a result it was around 3.00 am before we reached venice and the long wait for taxis meant that we didn't reach out hotel beyond mestre until 4.00 am. we've since learnt that ba have cancelled hundreds of flights over the past several days claiming 'bad weather' yet according to flightradar 24 no other airline flying out of heathrow cancelled flights",2024-09-08,September,2024,1.0
28,“One gets better service in McDonalds”,"absolutely atrocious. lhr-ord-lhr round-trip. british airways is truly a disgrace as our ""national airline"". with only eight seats in first class, you would think they could provide a genuine ""white glove"" experience. instead, the crew in first class both ways were inattentive, ill-mannered, and badly trained. one gets better service in mcdonalds. ba's new first suite is a small, uncomfortable cubicle, and miles behind premium classes at other airlines. movie selection was very poor, and the wifi did not work properly. the amenity kit was tiny, and cheap. the airplane itself was dirty, and had clearly been cleaned in haste. the food served in first class was grim, and especially bad on the ord-lhr sector. the crew both sectors spent most of their time in the galley, and disappeared after the meal service. overall, british airways continues to decline, and one wouldn't fly them if there was an alternative. to add insult to injury, ba flies into chicago international terminal, and has decided that the ord-lhr return flies out of american airlines terminal 3, including use of the aa dreadful flagship lounge at t3. of course, nothing will change, because governments have given ba a virtual monopoly, and ba continue to have mediocre leadership that only care about costs, and their own share portfolio.",2024-09-06,September,2024,1.0
29,"“shocking food, service, exorbitant prices”","as someone who flies relentlessly with british airways for business and pleasure, generally for the routing and who is a gold frequent flier we’ve come to accept the shocking food, service, exorbitant prices and outdated planes. when you get on a plane the primary role of the crew is your safety however when said crew look like they have just fallen out of bed cannot dress themselves properly or in the case of men find a razor you do question there ability to react in an emergency situation. enough said.",2024-09-02,September,2024,4.0
30,"""delayed with no explanation""","flew with british airways club europe on saturday 31st august. poor lounge in berlin brandenburg airport. emailed, to say that flight was delayed with no explanation, and no announcement made. staff in lounge had not been told of delay, and airport info screens were not updated. email said to keep checking online for updates. flight took over 99 minutes late with no explanation why the late arrival of plane and departure, with a very rushed service. on arrival at lhr, quickly with passport control, then an almost hour wait for baggage to arrive on the carousels. no announcements due to the delay, meaning arriving home over 3 hours later than should of been arriving.",2024-09-01,September,2024,2.0
31,"""Sound food and drink offered""",straightforward check in t5. new site for club check in and it works well. all lounges busy but good food offerings. on time departure for a completely full flight in all cabins. sound food and drink offered with the exception of inferior quality champagne. crew coped well for this busy and quite short flight. slept for a few hours. afternoon tea food was good but portions very small. early landing and luggage off quickly.,2024-08-30,August,2024,8.0
32,"“beyond appalled, hurt and frustrated”","i am beyond upset and disgusted with the disregard, lack of knowledge and lies that your company has put me through. each call i have had with a different representative has lead to no help, nothing being resolved and false information. due to no longer being able to fly for my original flight, i called and spoke to someone who gave me a new reference number where i could book at a later date/destination or change the name. i then had a close family member pass away suddenly to which i then offered my mother my ticket to fly out for the funeral, as i was told i could change the name. when then calling and trying to do this, i then got told that i was unable to do this unless we proved this by sending the death certificate as stated in the ‘policy’. after questioning this and not wanting to get false information, i made this representative double check and confirm this to which she did. after then troubling my aunt and uncle, who are grieving over the sudden loss of their son (my cousin) for this documentation, we then sent it to the to email provided and called to get this now changed into my mothers name. to which we then found out was yet another lie and that this cannot be done as you can only change the name if the ticket holder has passed away (which makes no sense as they would be dead so how can they challenge a name change.) after expressing my feelings of mistrust, that i would be taking it further as i no longer wanting to have anything to do with this company, i was told that i wasn’t allowed any refund and was only allowed to book it at a later date. i then challenged the representative to speak to a manger to which i was told, they had none working, they had gone home and that no one had any direct email. after then putting in a formal complaint 5 months ago with still no response. i called back to use the money to book a new flight to say i couldn't as it was a less amount (even after saying fine keep the remaining money) and i was only allowed to book the same amount or more (scam to get more money out of you). when asking to speak to a manager, shock horror, there isn't one working. when looking at the status of my complaint he said there is a back log and will get to it eventually (says a lot if the back log of complaints is longer than 5 months). to then be told there is nothing he can do. i am beyond appalled, hurt and frustrated by this whole experience and will be spreading the word and my story to every known platform and review website possible till i speak to someone who, genuinely knows what they are talking about and can come to a mutual agreement/resolve the issue as, the information i was told only leaves me to believe that this company doesn’t care at all about its customers and only cares about money and profit.",2024-08-28,August,2024,1.0
33,"""experience was overall very poor""","i purchased round trip direct flight business class ticket for my family from hong kong to london. a few days before the trip, the airline cancelled our return flight without giving any reasons and booked us on a flight routing via doha which gave us 2 hour layover. on the day of departure, the flight was delayed by more than 2 hours as a result of ""crew shortage"". when getting on the flight, we enquired about whether we'd be able to make the flight and we were told that given many passengers are on the same flight the doha to hong kong flight would wait. when we arrived we were told that our flight already departed and the next flight available was 6 hours later. we had to wait 1 hour to get our boarding passes and then was only given access to the lounge when there is an airport hotel. after the flight we reached out to make a complaint and ask for monetary consideration given the experience, the airline has not responded for more than a month. we paid up for the direct flight and premium seating, but the experience was overall very poor.",2024-08-28,August,2024,1.0
34,“the entire travel was cancelled”,"i booked two business class seats. we had a medical emergency and couldn't make the first leg of the trip. we then wanted to re-book an outgoing flight but were told that the entire travel was cancelled. cost: $10k. of course, we know that ba turned around and re-sold the return tickets.",2024-08-27,August,2024,1.0
35,“service offered was exceptional”,although all four flights were delayed the service offered by ba was exceptional. the food and drink offered on the domestic and international sectors was extremely good as was the attention of the cabin crew. some disorganised boarding on return from newark. the ba lounge service at newark was excellent. overall a good and satisfying trip.,2024-08-26,August,2024,9.0
36,"""No meal served""","flight changed just one day before from british airways to titan. flight delayed 2 hours. no meal served, and no entertainment. again the flight changed to titan for the way back.",2024-08-26,August,2024,1.0
37,“no response to complaint”,delayed flight 1 hour. arbitrary cancellation of paid for reserved seats - no response to formal complaint or explanation. flight back to london cancelled giving 3 days notice. no reason given. alternative flight offered two days later. travelling with son and daughter.,2024-08-25,August,2024,2.0
38,“cabin crew are brilliant”,flown with ba four times. as an anxious traveller i can’t recommend them enough. constant updates from the pilot if there are delays and the cabin crew are brilliant every time. will always use ba in the future.,2024-08-25,August,2024,10.0
39,"""may never see your refund""","you may never see your refund. i cancelled my return flight and they sent my refund to pakistan and told me i must have a pakistani credit card i forgot i used to purchase my flight. took 3+ calls for them to admit this pakistan card wasnt mine and they sent someone else my money. after calling about 12 total times over 3 months they finally sent me half my refund  and told me they don't owe me anything. you told me what you owed me (132$ on a 700$ ticket), sent it to pakistan, and now you only owe me half that (75$)?",2024-08-22,August,2024,1.0
40,“failed to enjoy business class”,"cargo service: that's how i felt in the a380 upper deck (supposedly nicer than the main deck for business) but packed in on the 2-3-2 configuration, head to tail as ba loves to configure its seats to make more money, i failed to enjoy business class or feel like it was worth the money. the lie-flat seats do that, as narrow as they are, and only by lowering the foot rest...the foot rest over which the person not on the aisle (i was on the aisle) has to step or crawl to get to the aisle. one can get a couple of fitful hours of sleep but only with luck. the seat controls on the a380 are primitive and antiquated. the food served was a bit better than coach but only minimally so. well-cooked (dead) supposedly scottish salmon. salads with tough bits of green. if i'd paid coach+ prices for this, i'd have been sort of pleased. but business class? ba continues to hoover money out of flyers' pockets for minimal quality...and charges all but their higher grades of customers for the ""privilege"" of choosing seats in advance of 24 hr check-in. some of their newer planes have the more traditional all-facing-forward business class....but many do not. it's really a gamble whether you'll get a pod in business or simply a lie-flat space next to many of your new-found friends...and be awakened by them. it's really time for ba to either reduce their business class prices to reflect the mediocre product or step up and re-allocate space for normal business pod seats all through their fleet.",2024-08-21,August,2024,5.0
41,"“somewhere below easyJet, above Ryanair”","inefficient and slow airport operation. resting on their laurels. many staff standing around doing very little at terminal 5, yet not completing their basic tasks - i had to return three times for them to properly do the document check. fees as bad as ryanair for any extras. average, somewhere below easyjet, above ryanair, for now. presumably that's what they're aiming for.",2024-08-21,August,2024,4.0
42,"""zero response from BA to reimburse us""","the customer service is one of the worst i have ever seen. they will scheme and give you untruths. we were not allowed on our original flight because of some ""technical"" issue on their end, and had to call the airline because they could not do anything at the counter. $600 additional later, we are booked on the next flight in 12 hours. we paid for services on the original flight and asked for it to be moved, nothing happened. we had to pay for the services all over again. next the second connecting flight, we sat on the tarmac for over two hours, then we deplaned at midnight without going anywhere! they did not even give us an hotel, we had to spend the night at the airport. they gave us a flight the enxt day, from london to zurich, but it was three connecting flights with an hour gap each, london - brussels - amsterdam - zurich, absolute nonsense! the first flight itself was delayed, so of course we missed all the other connections, and they would not pick up the phone or help us, nothing. we had zero help from ba and had to spend 10 hours at brussels ariport sorting out and buying new tickets ourselves. we are out over $2500 at this point, with zero response from ba to reimburse us for their planning. our final flight to india from zurich was also delayed, we sat on the tarmac for 2 hours before the flight finally took off. costs!",2024-08-18,August,2024,2.0
43,"""no acknowledgment or resolution""","before my flight, i was forced by the ground staff to check in my new, expensive cabin luggage, despite the fact that it met all size requirements. i was informed that the plane was full and assured by staff that my luggage would be well taken care of. unfortunately when my bag was returned to me, it was scratched and damaged. this is completely unacceptable, especially given the assurances i received. when i lodged a complaint, it fell on deaf ears, there has been no acknowledgment or resolution from british airways. the funny thing is that the overhead lockers were empty! this experience has been extremely frustrating and disappointing. the lack of care for both customer property and customer service is glaring.",2024-08-15,August,2024,1.0
44,"""Outstanding service""",british airways at its best. outstanding service from the flight attendants. dinner very good though breakfast could be better. excellent ife. the lie flat seat is extremely comfortable. a very pleasant flight on board an a350.,2024-08-12,August,2024,8.0
45,"""the crew were fabulous""","an excellent flight! despite this being a 4.5 hour flight in a a320 that is configured for short hops to edinburgh or glasgow, and despite there being no ife, i ended up really enjoying the flight. i don't know if it was just that i had really low expectations, but i thought the crew were fabulous, and the food and wine was surprisingly good. the plane itself looked very new and was in perfect condition. from the very start, i really liked the crew - they were all cheerful, genuine, and clearly enjoying their work. i noticed they constantly had friendly and proactive interactions with passengers, and when the food and drink came around, they were generous with the wine - and happily provided top-ups later in the flight. the food box was deceptively small - it actually contained a decent selection of food, and was more than enough to keep me feeling satisfied on this trip. there were regular, and detailed, updates from the cockpit which i also appreciated. so whilst the hard products on this flight were limited, it was the service - and the genuine enjoyment of the crew - that won me over.",2024-08-12,August,2024,8.0
